,count_bindings_in_miRNA,pair_state_No,mFE,hairpin_count,stem_length,distanceToloop,percentage_PairedInMiRNA,pair_state_Yes,binding_count,armType_loop,interiorLoopCount,index,clusterName,chrom,start,end,miRNA,sample,annotation
0,20,0,-42.9,1,34,5,0.95,1,34,0,6,0,mapped_mirna_ERR038410:miRCluster_1_22:chr1:1167124_1167145+,1,1167124,1167145,True,ERR038410,Hsa-Mir-8-P1a_pri
1,18,0,-40.9,1,32,6,0.9,1,32,0,5,1,mapped_mirna_ERR038410:miRCluster_2_24:chr1:1167160_1167183+,1,1167160,1167183,True,ERR038410,Hsa-Mir-8-P1a_pri
2,18,1,-45.5,1,32,12,0.78,0,32,0,4,2,mapped_mirna_ERR038410:miRCluster_3_23:chr1:1167916_1167938+,1,1167916,1167938,True,ERR038410,Hsa-Mir-8-P2a_pri
3,17,1,-38.8,1,29,3,0.77,0,29,0,3,3,mapped_mirna_ERR038410:miRCluster_4_22:chr1:1169055_1169076+,1,1169055,1169076,True,ERR038410,Hsa-Mir-8-P3a_pri
4,18,1,-39.2,1,35,9,0.9,0,35,0,5,4,mapped_mirna_ERR038410:miRCluster_31_23:chr1:9151734_9151756-,1,9151734,9151756,True,ERR038410,Hsa-Mir-34-P1_pri
5,20,0,-52.1,1,34,2,0.91,1,34,0,3,5,mapped_mirna_ERR038410:miRCluster_8_25:chr1:40754371_40754395+,1,40754371,40754395,True,ERR038410,Hsa-Mir-30-P1d_pri
6,20,0,-52.1,1,34,3,1.0,1,34,0,3,6,mapped_mirna_ERR038410:miRCluster_9_22:chr1:40754413_40754434+,1,40754413,40754434,True,ERR038410,Hsa-Mir-30-P1d_pri
7,11,1,-17.2,1,19,-11,0.52,0,19,1,4,7,mapped_mirna_ERR038410:miRCluster_10_24:chr1:40757300_40757323+,1,40757300,40757323,True,ERR038410,Hsa-Mir-30-P2d_pri
8,20,1,-47.0,1,29,2,1.0,0,29,0,2,8,mapped_mirna_ERR038410:miRCluster_35_23:chr1:65058441_65058463-,1,65058441,65058463,True,ERR038410,Hsa-Mir-101-P1-v1_pri
9,19,1,-41.1,1,33,2,0.9,0,33,0,3,9,mapped_mirna_ERR038410:miRCluster_37_25:chr1:71067679_71067703-,1,71067679,71067703,True,ERR038410,Hsa-Mir-186_pri
10,17,1,-44.1,1,33,8,0.81,0,33,0,6,10,mapped_mirna_ERR038410:miRCluster_13_22:chr1:109598940_109598961+,1,109598940,109598961,True,ERR038410,Hsa-Mir-197_pri
11,19,1,-61.1,1,33,3,0.95,0,33,0,4,11,mapped_mirna_ERR038410:miRCluster_16_22:chr1:155195237_155195258+,1,155195237,155195258,True,ERR038410,Hsa-Mir-92-P1d_pri
12,17,1,-57.1,1,33,4,0.85,0,33,0,2,12,mapped_mirna_ERR038410:miRCluster_44_23:chr1:172138816_172138838-,1,172138816,172138838,True,ERR038410,Hsa-Mir-214-v2_pri
13,18,0,-39.6,1,32,7,0.86,1,32,0,7,13,mapped_mirna_ERR038410:miRCluster_46_24:chr1:172144553_172144576-,1,172144553,172144576,True,ERR038410,Hsa-Mir-199-P1-v3_pri
14,18,0,-39.6,1,32,4,0.82,1,32,0,7,14,mapped_mirna_ERR038410:miRCluster_47_23:chr1:172144592_172144614-,1,172144592,172144614,True,ERR038410,Hsa-Mir-199-P1-v3_pri
15,17,1,-33.2,1,29,9,0.77,0,29,0,3,15,mapped_mirna_ERR038410:miRCluster_51_25:chr1:198858924_198858948-,1,198858924,198858948,True,ERR038410,Hsa-Mir-181-P2a_pri
16,18,0,-29.6,1,31,5,0.95,1,31,0,7,16,mapped_mirna_ERR038410:miRCluster_52_22:chr1:198859069_198859090-,1,198859069,198859090,True,ERR038410,Hsa-Mir-181-P1a_pri
17,16,0,-28.3,1,31,7,0.76,1,31,0,7,17,mapped_mirna_ERR038410:miRCluster_53_25:chr1:198859106_198859130-,1,198859106,198859130,True,ERR038410,Hsa-Mir-181-P1a_pri
18,19,1,-34.8,1,31,2,0.86,0,31,0,4,18,mapped_mirna_ERR038410:miRCluster_54_24:chr1:207801864_207801887-,1,207801864,207801887,True,ERR038410,Hsa-Mir-29-P2d_pri
19,19,1,-34.7,1,35,3,0.95,0,35,0,5,19,mapped_mirna_ERR038410:miRCluster_56_25:chr1:207802449_207802473-,1,207802449,207802473,True,ERR038410,Hsa-Mir-29-P1d-v1_pri
20,17,1,-31.0,1,30,2,0.85,0,30,0,5,20,mapped_mirna_ERR038410:miRCluster_57_22:chr1:220117915_220117936-,1,220117915,220117936,True,ERR038410,Hsa-Mir-192-P1_pri
21,19,1,-38.4,1,33,4,0.86,0,33,0,5,21,mapped_mirna_ERR038410:miRCluster_58_22:chr1:220118206_220118227-,1,220118206,220118227,True,ERR038410,Hsa-Mir-194-P1_pri
22,16,1,-34.1,1,33,6,0.8,0,33,0,6,22,mapped_mirna_ERR038410:miRCluster_256_24:chr10:17845158_17845181+,10,17845158,17845181,True,ERR038410,Hsa-Mir-511_pri
23,18,1,-35.1,1,35,5,0.86,0,35,0,6,23,mapped_mirna_ERR038410:miRCluster_268_25:chr10:89592755_89592779-,10,89592755,89592779,True,ERR038410,Hsa-Mir-103-P1_pri
24,18,1,-38.1,1,30,3,0.82,0,30,0,6,24,mapped_mirna_ERR038410:miRCluster_261_25:chr10:102436520_102436544+,10,102436520,102436544,True,ERR038410,Hsa-Mir-146-P1_pri
25,17,0,-38.9,1,31,6,0.77,1,31,0,7,25,mapped_mirna_ERR038410:miRCluster_271_23:chr10:103394300_103394322-,10,103394300,103394322,True,ERR038410,Hsa-Mir-1307_pri
26,16,0,-38.9,1,31,6,0.76,1,31,0,7,26,mapped_mirna_ERR038410:miRCluster_272_24:chr10:103394338_103394361-,10,103394338,103394361,True,ERR038410,Hsa-Mir-1307_pri
27,15,1,-38.1,1,29,8,0.71,0,29,0,3,27,mapped_mirna_ERR038410:miRCluster_275_21:chr10:130962638_130962658-,10,130962638,130962658,True,ERR038410,
28,19,1,-52.3,1,30,0,0.83,0,30,0,5,28,mapped_mirna_ERR038410:miRCluster_289_23:chr11:1996800_1996822-,11,1996800,1996822,True,ERR038410,Hsa-Mir-675_pri
29,18,1,-53.6,1,34,5,0.86,0,34,0,6,29,mapped_mirna_ERR038410:miRCluster_290_25:chr11:2134178_2134202-,11,2134178,2134202,True,ERR038410,Hsa-Mir-483_pri
30,19,1,-36.9,1,29,2,0.95,0,29,0,5,30,mapped_mirna_ERR038410:miRCluster_293_27:chr11:64891199_64891225-,11,64891199,64891225,True,ERR038410,Hsa-Mir-192-P2_pri
31,19,1,-49.8,1,34,6,0.86,0,34,0,5,31,mapped_mirna_ERR038410:miRCluster_294_25:chr11:64891402_64891426-,11,64891402,64891426,True,ERR038410,Hsa-Mir-194-P2_pri
32,20,0,-44.5,1,33,2,0.91,1,33,0,6,32,mapped_mirna_ERR038410:miRCluster_295_23:chr11:72615066_72615088-,11,72615066,72615088,True,ERR038410,Hsa-Mir-139_pri
33,19,0,-46.0,1,33,2,0.9,1,33,0,6,33,mapped_mirna_ERR038410:miRCluster_296_23:chr11:72615102_72615124-,11,72615102,72615124,True,ERR038410,Hsa-Mir-139_pri
34,18,1,-30.0,1,31,3,0.82,0,31,0,6,34,mapped_mirna_ERR038410:miRCluster_284_23:chr11:111513451_111513473+,11,111513451,111513473,True,ERR038410,Hsa-Mir-34-P2b_pri
35,19,1,-41.1,1,34,6,0.86,0,34,0,5,35,mapped_mirna_ERR038410:miRCluster_301_23:chr11:122099808_122099830-,11,122099808,122099830,True,ERR038410,Hsa-Mir-10-P3d_pri
36,19,1,-37.4,1,32,12,0.86,0,32,0,5,36,mapped_mirna_ERR038410:miRCluster_302_25:chr11:122146566_122146590-,11,122146566,122146590,True,ERR038410,Hsa-Let-7-P1d_pri
37,17,1,-30.5,1,27,1,0.81,0,27,0,5,37,mapped_mirna_ERR038410:miRCluster_303_23:chr11:122152274_122152296-,11,122152274,122152296,True,ERR038410,Hsa-Mir-10-P2d_pri
38,19,1,-31.0,1,33,2,0.9,0,33,0,5,38,mapped_mirna_ERR038410:miRCluster_306_22:chr12:54337278_54337299+,12,54337278,54337299,True,ERR038410,Hsa-Mir-148-P4_pri
39,19,1,-41.8,1,30,0,0.86,0,30,0,3,39,mapped_mirna_ERR038410:miRCluster_314_24:chr12:57824656_57824679-,12,57824656,57824679,True,ERR038410,Hsa-Mir-26-P4_pri
40,20,1,-52.5,1,39,8,0.91,0,39,0,6,40,mapped_mirna_ERR038410:miRCluster_307_24:chr12:62603690_62603713+,12,62603690,62603713,True,ERR038410,Hsa-Let-7-P2c2_pri
41,18,1,-43.4,1,30,1,0.9,0,30,0,4,41,mapped_mirna_ERR038410:miRCluster_308_21:chr12:95308480_95308500+,12,95308480,95308500,True,ERR038410,Hsa-Mir-331_pri
42,19,1,-37.3,1,33,7,0.86,0,33,0,5,42,mapped_mirna_ERR038410:miRCluster_327_24:chr13:50049025_50049048-,13,50049025,50049048,True,ERR038410,Hsa-Mir-15-P2a_pri
43,17,1,-31.0,1,23,1,0.81,0,23,0,2,43,mapped_mirna_ERR038410:miRCluster_328_24:chr13:50049165_50049188-,13,50049165,50049188,True,ERR038410,Hsa-Mir-15-P1a_pri
44,17,0,-35.3,1,31,3,0.77,1,31,0,6,44,mapped_mirna_ERR038410:miRCluster_317_25:chr13:91350617_91350641+,13,91350617,91350641,True,ERR038410,Hsa-Mir-17-P1a_pri
45,17,0,-35.3,1,31,5,0.77,1,31,0,6,45,mapped_mirna_ERR038410:miRCluster_318_23:chr13:91350655_91350677+,13,91350655,91350677,True,ERR038410,Hsa-Mir-17-P1a_pri
46,20,1,-38.3,1,32,1,0.91,0,32,0,4,46,mapped_mirna_ERR038410:miRCluster_320_24:chr13:91351072_91351095+,13,91351072,91351095,True,ERR038410,Hsa-Mir-17-P4a_pri
47,20,1,-39.6,1,34,2,0.91,0,34,0,4,47,mapped_mirna_ERR038410:miRCluster_321_23:chr13:91351245_91351267+,13,91351245,91351267,True,ERR038410,Hsa-Mir-19-P2a_pri
48,21,1,-42.8,1,32,5,0.95,0,32,0,4,48,mapped_mirna_ERR038410:miRCluster_323_23:chr13:91351361_91351383+,13,91351361,91351383,True,ERR038410,Hsa-Mir-92-P1a_pri
49,19,1,-37.8,1,28,5,0.9,0,28,0,6,49,mapped_mirna_ERR038410:miRCluster_345_22:chr14:100883035_100883056+,14,100883035,100883056,True,ERR038410,Hsa-Mir-127_pri
50,15,1,-41.8,1,32,6,0.71,0,32,0,6,50,mapped_mirna_ERR038410:miRCluster_346_23:chr14:100884496_100884518+,14,100884496,100884518,True,ERR038410,Hsa-Mir-432_pri
