,count_bindings_in_miRNA,exactMatchRatio,pair_state_No,mFE,head_minus3_TemplateNucleotide_percentage,hairpin_count,stem_length,distanceToloop,percentage_PairedInMiRNA,headUnstableLength,pair_state_Yes,tail_plus2_A_percentage,head_minus2_TemplateNucleotide_percentage,binding_count,tail_plus1_A_percentage,armType_loop,tail_plus3_A_percentage,tail_plus5_TemplateNucleotide_percentage,tail_plus1_TemplateNucleotide_percentage,interiorLoopCount,head_minus1_TemplateNucleotide_percentage,index,clusterName,chrom,start,end,miRNA,sample,annotation,ann_start,ann_end
18499,8,0.3125,1,-14.6,0.0,1,25,15,0.5,0,0,0.0,0.0,25,1.0,0,0.0,0.75,0.875,6,0.0,18499,mapped_nonMirna_SRR553576:miRCluster_8746_22:chr9:111609020_111609041-,9,111609020,111609041,False,SRR553576,,111608000,111610000
9348,14,1.0,1,-16.0,0.0,2,18,-9,0.61,1,0,0.0,0.0,18,0.0,1,0.0,0.0,1.0,4,1.0,9348,mapped_nonMirna_SRR1635908:miRCluster_28712_26:chr22:35607390_35607415-,22,35607390,35607415,False,SRR1635908,,35607000,35608000
12555,6,0.0224719101124,1,-9.7,0.0,1,13,-11,0.4,2,0,0.0,0.0,13,0.0,1,0.0,0.0,0.679012345679,2,0.971428571429,12555,mapped_nonMirna_SRR333658:miRCluster_23142_17:chr11:90800974_90800990-,11,90800974,90800990,False,SRR333658,,90800000,90802000
6805,13,1.0,1,-38.6,1.0,1,37,17,0.65,3,0,0.0,1.0,37,0.0,0,0.0,0.0,1.0,9,1.0,6805,mapped_nonMirna_SRR1635903:miRCluster_2027_27:chr1:160123332_160123358+,1,160123332,160123358,False,SRR1635903,,160123000,160124000
7175,18,0.0625,1,-30.5,0.0,1,28,8,1.0,1,0,0.0,0.0,28,0.0,0,0.0,0.0,0.0,5,0.0,7175,mapped_nonMirna_SRR1635903:miRCluster_39974_18:chr16:8848580_8848597+,16,8848580,8848597,False,SRR1635903,,8848000,8849000
12725,7,0.036253776435,1,-25.9,0.947368421053,1,18,4,0.58,7,0,0.722448979592,0.430555555556,18,0.0869565217391,0,0.0,0.0,0.916967509025,4,0.341389728097,12725,mapped_nonMirna_SRR333658:miRCluster_33086_19:chr18:59269136_59269154+,18,59269136,59269154,False,SRR333658,,59268000,59270000
13546,10,0.0121951219512,1,-57.8,0.0,1,28,7,0.62,1,0,0.0,0.0,28,0.0,0,0.0,0.0,0.0,5,0.963636363636,13546,mapped_nonMirna_SRR333674:miRCluster_16289_16:chr12:68933233_68933248-,12,68933233,68933248,False,SRR333674,,68933000,68934000
18238,7,0.818181818182,1,-22.9,1.0,1,19,-8,0.44,12,0,1.0,1.0,19,0.0,0,0.0,0.0,0.0,3,1.0,18238,mapped_nonMirna_SRR553576:miRCluster_15158_28:chr17:17042944_17042971+,17,17042944,17042971,False,SRR553576,,17042000,17044000
8095,9,0.333333333333,1,-32.9,1.0,2,31,-20,0.6,6,0,0.388888888889,1.0,31,0.0,0,0.0,0.0,0.666666666667,5,0.458333333333,8095,mapped_nonMirna_SRR1635903:miRCluster_24887_23:chr9:131478505_131478527+,9,131478505,131478527,False,SRR1635903,,131478000,131479000
4484,5,1.0,1,-7.8,1.0,1,14,-7,0.31,3,0,0.0,1.0,14,0.0,0,0.0,0.0,1.0,3,1.0,4484,mapped_nonMirna_ERR973611:miRCluster_8505_22:chr7:93906761_93906782+,7,93906761,93906782,False,ERR973611,,93906000,93907000
11979,5,0.00200400801603,1,-18.3,0.0,1,9,-9,0.33,1,0,0.0,0.0,9,0.0,0,0.0,0.0,1.0,1,1.0,11979,mapped_nonMirna_SRR2174517:miRCluster_5374_16:chr7:37448498_37448513+,7,37448498,37448513,False,SRR2174517,,37448000,37449000
12628,14,1.0,1,-41.8,0.0,2,34,-26,0.7,2,0,0.0,1.0,34,0.0,0,0.0,0.0,1.0,4,1.0,12628,mapped_nonMirna_SRR333658:miRCluster_27489_23:chr14:64939267_64939289-,14,64939267,64939289,False,SRR333658,,64939000,64940000
8050,8,0.25,1,-33.8,0.5,1,19,2,0.53,7,0,0.0,1.0,19,1.0,0,1.0,0.0,0.583333333333,4,1.0,8050,mapped_nonMirna_SRR1635903:miRCluster_23892_24:chr8:144332704_144332727-,8,144332704,144332727,False,SRR1635903,,144332000,144333000
6874,3,0.6875,1,-13.2,1.0,1,12,-5,0.27,5,0,0.0,1.0,12,0.0,0,0.0,0.6875,1.0,3,1.0,6874,mapped_nonMirna_SRR1635903:miRCluster_27589_25:chr10:45727070_45727094-,10,45727070,45727094,False,SRR1635903,,45726000,45728000
11910,12,0.0152284263959,1,-59.2,0.944444444444,3,32,-21,0.92,5,0,0.0,1.0,32,0.0,0,0.0,0.0,0.96644295302,3,1.0,11910,mapped_nonMirna_SRR2174517:miRCluster_3164_18:chr3:126983610_126983627-,3,126983610,126983627,False,SRR2174517,,126983000,126984000
9604,12,0.124338624339,1,-43.0,0.0,1,27,4,0.71,1,0,0.0300859598854,0.0,27,0.0109529025192,0,0.0,0.0,0.0374275171323,6,0.00791034937376,9604,mapped_nonMirna_SRR1635908:miRCluster_11106_18:chr7:101815905_101815922+,7,101815905,101815922,False,SRR1635908,,101815000,101817000
7341,13,0.146341463415,1,-31.2,0.0,1,23,1,0.76,1,0,0.0,0.0,23,0.0,0,0.0,0.0,0.8,5,0.0,7341,mapped_nonMirna_SRR1635903:miRCluster_46689_18:chr18:13932985_13933002+,18,13932985,13933002,False,SRR1635903,,13932000,13934000
5361,7,0.00321156162184,1,-14.1,0.0,2,18,1,0.44,0,0,0.0,0.0,18,0.0,0,0.0,0.0,0.78241670012,2,0.0,5361,mapped_nonMirna_ERR973613:miRCluster_10333_17:chr9:122877381_122877397-,9,122877381,122877397,False,ERR973613,,122877000,122878000
7032,15,0.809523809524,1,-35.8,0.0,1,30,15,0.83,2,0,0.0,1.0,30,0.0,0,0.0,0.0,0.666666666667,8,0.6,7032,mapped_nonMirna_SRR1635903:miRCluster_34475_21:chr12:88142058_88142078-,12,88142058,88142078,False,SRR1635903,,88141000,88143000
14767,13,1.0,1,-17.5,0.0,3,21,-23,0.68,2,0,0.0,1.0,21,0.0,0,0.0,0.0,1.0,2,1.0,14767,mapped_nonMirna_SRR333680:miRCluster_8411_23:chr7:98193289_98193311+,7,98193289,98193311,False,SRR333680,,98193000,98194000
8702,0,0.280701754386,0,-44.4,1.0,2,26,-58,0.0,11,1,0.0,0.516129032258,26,0.0,0,0.0,0.0,0.290909090909,3,0.315789473684,8702,mapped_nonMirna_SRR1635908:miRCluster_17415_22:chr12:71755071_71755092+,12,71755071,71755092,False,SRR1635908,,71754000,71756000
21220,8,0.0034188034188,1,-9.5,0.0,1,8,-3,0.47,1,0,0.0,0.0,8,0.0,0,0.0,0.0,0.00729927007299,2,1.0,21220,mapped_nonMirna_SRR837839:miRCluster_15196_17:chr22:39655686_39655702-,22,39655686,39655702,False,SRR837839,,39655000,39656000
10039,10,0.0230769230769,1,-48.8,1.0,1,31,15,0.77,4,0,0.0,1.0,31,0.0,0,0.0,0.0,1.0,6,1.0,10039,mapped_nonMirna_SRR1820680:miRCluster_1392_16:chr14:101584579_101584594-,14,101584579,101584594,False,SRR1820680,,101584000,101585000
10077,8,0.041958041958,1,-9.9,0.0,1,14,-9,0.5,1,0,0.0,0.0,14,0.935483870968,1,0.0,0.0,0.0,2,0.0,10077,mapped_nonMirna_SRR1820680:miRCluster_237_16:chr2:176611924_176611939+,2,176611924,176611939,False,SRR1820680,,176611000,176613000
8870,13,0.592592592593,1,-44.0,1.0,1,32,18,0.87,3,0,0.0,0.888888888889,32,0.0,0,0.0,0.0,0.666666666667,6,0.72,8870,mapped_nonMirna_SRR1635908:miRCluster_21103_21:chr16:29663261_29663281+,16,29663261,29663281,False,SRR1635908,,29663000,29664000
5854,11,0.975903614458,1,-19.5,1.0,1,23,-1,0.58,5,0,0.0,1.0,23,0.0,0,0.0,0.0,1.0,5,1.0,5854,mapped_nonMirna_SRR1291267:miRCluster_2675_26:chr7:64500673_64500698+,7,64500673,64500698,False,SRR1291267,,64500000,64501000
